PERIODOS,CONSUMO DE HIDROCARBUROS
199201,"2104,7049000000000000"
199202,"1997,1465000000000000"
199203,"2078,9566000000000000"
199204,"2067,4332000000000000"
199205,"1993,3599000000000000"
199206,"1883,1479000000000000"
199207,"2124,9034000000000000"
199208,"1982,7417000000000000"
199209,"2017,3379000000000000"
199210,"1979,6854000000000000"
199211,"1987,9955000000000000"
199212,"2090,3605000000000000"
199301,"1963,5634982000000000"
199302,"2072,9298885000000000"
199303,"2517,7357948000000000"
199304,"2134,6489128000000000"
199305,"2033,5620494000000000"
199306,"1962,0126855000000000"
199307,"2127,6986150000000000"
199308,"2078,4876319000000000"
199309,"1867,8604046000000000"
199310,"2200,3148804000000000"
199311,"2216,7357000000000000"
199312,"2353,6155404000000000"
199401,"2090,4594800000000000"
199402,"2195,8878060000000000"
199403,"2026,5397490000000000"
199404,"2347,9834640000000000"
199405,"2030,4097210000000000"
199406,"2203,9673180000000000"
199407,"2168,9081400000000000"
199408,"2056,6281980000000000"
199409,"2069,4064040000000000"
199410,"1870,7465420000000000"
199411,"2410,8094280000000000"
199412,"2602,3490360000000000"
199501,"2337,0015440000000000"
199502,"2181,3665170000000000"
199503,"2530,6145770000000000"
199504,"2172,7571630000000000"
199505,"2210,4394030000000000"
199506,"2219,3323570000000000"
199507,"2320,3148810000000000"
199508,"2290,7088870000000000"
199509,"2203,6667170000000000"
199510,"2350,4254530000000000"
199511,"2519,8101320000000000"
199512,"2682,3497110000000000"
199601,"2221,4031900000000000"
199602,"2476,5944700000000000"
199603,"2546,2420900000000000"
199604,"2251,8562200000000000"
199605,"2331,7466800000000000"
199606,"2146,4895400000000000"
199607,"2516,3238200000000000"
199608,"2346,9614700000000000"
199609,"2285,4394400000000000"
199610,"2615,0513200000000000"
199611,"2530,5699900000000000"
199612,"2563,5515400000000000"
199701,"2399,2969200000000000"
199702,"2290,2412400000000000"
199703,"2438,7117500000000000"
199704,"2374,4000300000000000"
199705,"2330,7409300000000000"
199706,"2248,8878600000000000"
199707,"2592,5769000000000000"
199708,"2338,1668000000000000"
199709,"2380,1699800000000000"
199710,"2628,6112500000000000"
199711,"2529,5757500000000000"
199712,"2817,8977800000000000"
199801,"2547,1338800000000000"
199802,"2458,3284100000000000"
199803,"2679,2876100000000000"
199804,"2610,0845100000000000"
199805,"2439,4841400000000000"
199806,"2510,6031100000000000"
199807,"2754,7270200000000000"
199808,"2468,1677700000000000"
199809,"2520,5834500000000000"
199810,"2839,6259200000000000"
199811,"2692,9842800000000000"
199812,"3034,4333600000000000"
199901,"2711,7908700000000000"
199902,"2842,8901100000000000"
199903,"3119,8922100000000000"
199904,"2599,2097800000000000"
199905,"2600,7694900000000000"
199906,"2690,3188300000000000"
199907,"2928,5611000000000000"
199908,"2642,4800800000000000"
199909,"2676,8740500000000000"
199910,"2872,3285500000000000"
199911,"3037,2128500000000000"
199912,"3323,0557000000000000"
200001,"2925,8106100000000000"
200002,"2943,2113900000000000"
200003,"3044,6949300000000000"
200004,"2750,2833700000000000"
200005,"2788,7974600000000000"
200006,"2832,7220600000000000"
200007,"2906,8832700000000000"
200008,"2829,9552900000000000"
200009,"2844,9631400000000000"
200010,"2839,7124600000000000"
200011,"2877,2374300000000000"
200012,"2915,2856900000000000"
200101,"3041,8226400000000000"
200102,"2960,1400100000000000"
200103,"3140,4603800000000000"
200104,"2821,6579700000000000"
200105,"2901,5075100000000000"
200106,"2883,5446200000000000"
200107,"3024,6346700000000000"
200108,"2921,1161400000000000"
200109,"2825,3488900000000000"
200110,"3130,9300500000000000"
200111,"3185,2691600000000000"
200112,"3457,4296200000000000"
200201,"3063,2108900000000000"
200202,"2977,9909600000000000"
200203,"3072,8057200000000000"
200204,"3065,9877000000000000"
200205,"2978,9572800000000000"
200206,"2837,8365900000000000"
200207,"3293,0719300000000000"
200208,"3034,5728200000000000"
200209,"2947,6899000000000000"
200210,"3307,2485200000000000"
200211,"3149,0554100000000000"
200212,"3166,7472600000000000"
200301,"3315,3746600000000000"
200302,"3222,9083400000000000"
200303,"3211,8137000000000000"
200304,"3156,1248600000000000"
200305,"3167,8760100000000000"
200306,"3100,8190000000000000"
200307,"3473,8662300000000000"
200308,"3096,9891900000000000"
200309,"3155,0424100000000000"
200310,"3437,3290700000000000"
200311,"3152,4775000000000000"
