Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
12 Galicia;Índice general;Índice;2019M12;97,858
12 Galicia;Índice general;Índice;2019M11;97,996
12 Galicia;Índice general;Índice;2019M10;97,690
12 Galicia;Índice general;Índice;2019M09;96,517
12 Galicia;Índice general;Índice;2019M08;96,544
12 Galicia;Índice general;Índice;2019M07;96,713
12 Galicia;Índice general;Índice;2019M06;97,361
12 Galicia;Índice general;Índice;2019M05;97,537
12 Galicia;Índice general;Índice;2019M04;97,266
12 Galicia;Índice general;Índice;2019M03;96,295
12 Galicia;Índice general;Índice;2019M02;95,855
12 Galicia;Índice general;Índice;2019M01;95,669
12 Galicia;Índice general;Índice;2018M12;97,134
12 Galicia;Índice general;Índice;2018M11;97,772
12 Galicia;Índice general;Índice;2018M10;97,806
12 Galicia;Índice general;Índice;2018M09;96,747
12 Galicia;Índice general;Índice;2018M08;96,458
12 Galicia;Índice general;Índice;2018M07;96,263
12 Galicia;Índice general;Índice;2018M06;97,067
12 Galicia;Índice general;Índice;2018M05;96,780
12 Galicia;Índice general;Índice;2018M04;95,968
12 Galicia;Índice general;Índice;2018M03;95,008
12 Galicia;Índice general;Índice;2018M02;94,884
12 Galicia;Índice general;Índice;2018M01;94,893
12 Galicia;Índice general;Índice;2017M12;96,160
12 Galicia;Índice general;Índice;2017M11;96,260
12 Galicia;Índice general;Índice;2017M10;95,604
12 Galicia;Índice general;Índice;2017M09;94,535
12 Galicia;Índice general;Índice;2017M08;94,339
12 Galicia;Índice general;Índice;2017M07;94,067
12 Galicia;Índice general;Índice;2017M06;94,871
12 Galicia;Índice general;Índice;2017M05;94,878
12 Galicia;Índice general;Índice;2017M04;94,869
12 Galicia;Índice general;Índice;2017M03;94,011
12 Galicia;Índice general;Índice;2017M02;93,993
12 Galicia;Índice general;Índice;2017M01;94,346
12 Galicia;Índice general;Índice;2016M12;95,056
12 Galicia;Índice general;Índice;2016M11;94,541
12 Galicia;Índice general;Índice;2016M10;94,186
12 Galicia;Índice general;Índice;2016M09;92,870
12 Galicia;Índice general;Índice;2016M08;92,645
12 Galicia;Índice general;Índice;2016M07;92,473
12 Galicia;Índice general;Índice;2016M06;93,370
12 Galicia;Índice general;Índice;2016M05;92,886
12 Galicia;Índice general;Índice;2016M04;92,327
12 Galicia;Índice general;Índice;2016M03;91,580
12 Galicia;Índice general;Índice;2016M02;90,969
12 Galicia;Índice general;Índice;2016M01;91,464
12 Galicia;Índice general;Índice;2015M12;93,549
12 Galicia;Índice general;Índice;2015M11;93,907
12 Galicia;Índice general;Índice;2015M10;93,458
12 Galicia;Índice general;Índice;2015M09;92,676
12 Galicia;Índice general;Índice;2015M08;92,878
12 Galicia;Índice general;Índice;2015M07;93,200
12 Galicia;Índice general;Índice;2015M06;94,221
12 Galicia;Índice general;Índice;2015M05;93,924
12 Galicia;Índice general;Índice;2015M04;93,451
12 Galicia;Índice general;Índice;2015M03;92,587
12 Galicia;Índice general;Índice;2015M02;92,003
12 Galicia;Índice general;Índice;2015M01;91,909
12 Galicia;Índice general;Variación mensual;2019M12;-0,1
12 Galicia;Índice general;Variación mensual;2019M11;0,3
12 Galicia;Índice general;Variación mensual;2019M10;1,2
12 Galicia;Índice general;Variación mensual;2019M09;0,0
12 Galicia;Índice general;Variación mensual;2019M08;-0,2
