From_Latitud,From_Longitud,From_Location,To_Latitud,To_Longitud,To_Location,Distance,Duration
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",0 km,0 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",60.3 km,47 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",54.7 km,39 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",35.7 km,30 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",50.4 km,39 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",33.9 km,35 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",35.0 km,36 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",56.2 km,43 mins
43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",65.3 km,49 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.11401346,-8.14795451,"Petronor, Rolda da Coruña, O Castro de Ril, O Cruce de Sesmonde, Barbeito, Curtis, Vilasantar, Betanzos, A Coruña, Galicia, 15807, España",54.0 km,40 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",0 km,0 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.27540082,-8.52940773,"Repsol, Autoestrada da Costa da Morte, Marciñado, Larín, Arteixo, A Coruña, Galicia, 15143, España",13.9 km,11 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.31197376,-8.36521447,"Área de Servizo do Burgo, Rúa Riazor, A Marisqueira, O Burgo, Almeiras, Culleredo, A Coruña, Galicia, 15670, España",20.8 km,18 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.31748953,-8.47923782,"Repsol, 9, Avenida Alcalde Manuel Platas Varela, As Aguceiras, Ponte, Oseiro, Arteixo, A Coruña, Galicia, 15141, España",9.6 km,10 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.34128816,-8.20368109,"Repsol, N-651, A Barrosa, Miño, Betanzos, A Coruña, Galicia, 15630, España",39.8 km,32 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.34600444,-8.26885678,"Repsol, 1, DP-5813, Osedo, Sada, A Coruña, Galicia, 15160, España",31.4 km,31 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.47224306,-8.16188278,"Repsol, 18, Avenida Porta do Sol, San Paio, A Porta do Sol, Fene, Ferrol, A Coruña, Galicia, 15500, España",56.7 km,39 mins
43.27471331,-8.52874355,"Autoestrada da Costa da Morte, Agra de Bons, Larín, Arteixo, A Coruña, Galicia, 15143, España",43.50287379,-8.22186654,"Estrada de Catabois, Catabois, Ferrol, A Coruña, Galicia, 15405, España",65.8 km,45 mins
