nombre,params,metrics
ES1,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.000477
rmse                 0.021556
mae                  0.017463
mdape                0.256721
smape                 0.31128
coverage             0.776568"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000714
rmse                 0.025768
mae                  0.021716
mdape                0.332564
smape                0.407224
coverage             0.724222"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.000832
rmse                 0.027468
mae                  0.023311
mdape                0.359949
smape                 0.46002
coverage             0.615859"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000509
rmse                 0.022134
mae                  0.018057
mdape                0.267128
smape                0.322806
coverage              0.80305"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.004018
rmse                 0.058126
mae                  0.054512
mdape                0.839475
smape                1.401698
coverage             0.896595"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001379
rmse                 0.034703
mae                  0.030607
mdape                0.471575
smape                 0.62855
coverage             0.505859"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.003247
rmse                 0.052464
mae                  0.048881
mdape                0.763141
smape                1.296398
coverage             0.857078"
ES1,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.001624
rmse                 0.036698
mae                   0.03249
mdape                0.556902
smape                0.774939
coverage             0.467963"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000567
rmse                 0.023237
mae                  0.019132
mdape                0.284292
smape                0.346548
coverage             0.785717"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.016627
rmse                 0.122266
mae                  0.120323
mdape                2.022154
smape                1.937303
coverage             0.793985"
ES11,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.005869
rmse                 0.076039
mae                  0.070886
mape                 0.374376
mdape                0.380965
smape                0.472374
coverage             0.088564"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001941
rmse                 0.042964
mae                  0.035714
mape                 0.177905
mdape                0.175009
smape                0.200762
coverage             0.558091"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.002629
rmse                 0.050388
mae                  0.043453
mape                 0.219918
mdape                0.222663
smape                0.255024
coverage             0.422045"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001428
rmse                 0.036728
mae                  0.029515
mape                 0.147589
mdape                0.140409
smape                0.162292
coverage             0.645511"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.017329
rmse                  0.12271
mae                  0.118683
mape                  0.60642
mdape                0.609823
smape                0.927206
coverage             0.422516"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.000951
rmse                 0.030382
mae                  0.023884
mape                  0.12646
mdape                0.106617
smape                0.131264
coverage             0.755927"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.016837
rmse                 0.119605
mae                  0.115277
mape                 0.586584
mdape                0.590572
smape                 0.90235
coverage             0.520196"
ES11,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.001381
rmse                 0.036413
mae                  0.029184
mape                 0.147491
mdape                0.141638
smape                0.162041
coverage             0.648696"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001382
rmse                  0.03611
mae                  0.028952
mape                 0.144883
mdape                0.136561
smape                0.158659
coverage             0.656586"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.020316
rmse                 0.138435
mae                  0.135294
mape                 0.720889
mdape                0.724215
smape                1.185926
coverage             0.788459"
ES12,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     200 days 14:02:55.609756098
mse                            0.001508
rmse                           0.037943
mae                            0.030825
mape                            0.13115
mdape                          0.107918
smape                          0.129375
coverage                       0.697142"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     200 days 14:02:55.609756098
mse                            0.001705
rmse                           0.040068
mae                            0.032951
mape                           0.137074
mdape                          0.115781
smape                          0.138647
coverage                       0.712628"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     200 days 14:02:55.609756098
mse                            0.001735
rmse                           0.040538
mae                            0.033324
mape                           0.137366
mdape                          0.118944
smape                          0.140479
coverage                       0.680158"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     200 days 14:02:55.609756098
mse                              0.0015
rmse                           0.038027
mae                            0.030599
mape                           0.139757
mdape                          0.099227
smape                          0.127107
coverage                       0.760035"
