nombre,params,metrics
ES1,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.012683
rmse                 0.110124
mae                  0.087851
mape                   0.2409
mdape                0.144751
smape                0.186827
coverage             0.763133"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.026024
rmse                 0.151956
mae                  0.130345
mape                 0.310418
mdape                0.226169
smape                0.309458
coverage              0.64299"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.042443
rmse                 0.194998
mae                  0.175466
mape                 0.381614
mdape                0.315466
smape                0.451406
coverage             0.362213"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.030544
rmse                 0.167218
mae                  0.146485
mape                 0.329426
mdape                0.260304
smape                0.356364
coverage             0.552796"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.025984
rmse                 0.155778
mae                  0.133052
mape                 0.311394
mdape                0.231237
smape                0.283946
coverage              0.97491"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.035606
rmse                 0.180908
mae                  0.158852
mape                 0.344499
mdape                0.282139
smape                0.351845
coverage             0.506527"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.075578
rmse                 0.256317
mae                  0.236526
mape                 0.489771
mdape                0.431949
smape                0.597385
coverage             0.921887"
ES1,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                   0.01628
rmse                 0.124297
mae                   0.10072
mape                 0.268313
mdape                0.165813
smape                0.236616
coverage             0.692759"
ES1,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.030511
rmse                  0.16706
mae                  0.146335
mape                 0.329014
mdape                0.259961
smape                0.356075
coverage             0.551482"
ES1,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.058344
rmse                 0.235077
mae                  0.218867
mape                  0.45388
mdape                0.399606
smape                0.592615
coverage             0.914196"
ES11,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.030901
rmse                 0.171002
mae                  0.153313
mape                 0.615149
mdape                0.243682
smape                0.317218
coverage             0.454328"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.014221
rmse                 0.109853
mae                  0.078768
mape                 0.658193
mdape                0.113245
smape                0.151208
coverage             0.901557"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.012437
rmse                 0.100896
mae                  0.070818
mape                 0.596803
mdape                0.094932
smape                0.138571
coverage             0.896216"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.019241
rmse                 0.130945
mae                  0.099495
mape                 0.730867
mdape                0.156378
smape                0.183055
coverage             0.769785"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.044446
rmse                 0.203022
mae                  0.175577
mape                 0.948415
mdape                0.299177
smape                0.285187
coverage             0.873102"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.014301
rmse                 0.110311
mae                  0.079216
mape                  0.65736
mdape                0.113839
smape                0.152351
coverage             0.903814"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.044788
rmse                 0.204229
mae                   0.17646
mape                 0.945685
mdape                0.302409
smape                0.286188
coverage             0.801545"
ES11,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.046542
rmse                 0.213285
mae                  0.199704
mape                 0.665352
mdape                0.332608
smape                0.444895
coverage              0.23379"
ES11,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.021352
rmse                  0.13859
mae                  0.107226
mape                 0.752469
mdape                0.170942
smape                0.194443
coverage               0.7034"
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                   0.14443
rmse                  0.35855
mae                  0.348206
mape                 0.838768
mdape                0.584927
smape                0.957375
coverage             0.854419"
ES12,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.016124
rmse                 0.117308
mae                  0.081408
mape                  0.91741
mdape                0.093732
smape                0.138732
coverage             0.911328"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.014207
rmse                 0.109443
mae                  0.079902
mape                 0.821817
mdape                0.098143
smape                0.150585
coverage             0.911583"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.013556
rmse                 0.105686
mae                  0.075476
mape                 0.827963
mdape                0.093742
smape                0.140997
coverage             0.926911"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                   0.01849
rmse                 0.129177
mae                  0.102182
mape                 0.827639
mdape                0.133639
smape                0.197021
coverage             0.800418"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.016219
rmse                 0.120565
mae                  0.090671
mape                 0.826883
mdape                0.117161
smape                0.162386
coverage             0.970339"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.019835
rmse                 0.135509
mae                  0.109303
mape                 0.811051
mdape                 0.14935
smape                0.197055
coverage             0.769951"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.023001
rmse                 0.147213
mae                  0.122508
mape                 0.838212
mdape                0.171946
smape                0.221413
coverage             0.973451"
ES12,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.015833
rmse                 0.115953
mae                  0.082404
mape                 0.902514
mdape                0.095502
smape                0.147355
coverage             0.906991"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.017754
rmse                 0.126152
mae                  0.098711
mape                 0.825301
mdape                0.127477
smape                0.189818
coverage             0.822358"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.032085
rmse                 0.167205
mae                  0.133904
mape                  1.10539
mdape                 0.18804
smape                0.205803
coverage             0.946624"
ES2,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.011189
rmse                 0.101586
mae                  0.077371
mape                 0.346884
mdape                0.123311
smape                0.180028
coverage             0.847144"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.009745
rmse                 0.091778
mae                  0.063464
mape                 0.351033
mdape                0.090617
smape                0.138334
coverage             0.909708"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.009593
rmse                 0.090937
mae                  0.063048
mape                 0.348167
mdape                0.087949
smape                0.138106
coverage             0.916822"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.016547
rmse                 0.123468
mae                  0.094518
mape                 0.445974
mdape                0.162575
smape                0.187345
coverage             0.762505"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.057581
rmse                 0.231701
mae                  0.212338
mape                 0.758829
mdape                0.405832
smape                0.360079
coverage             0.871608"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.022652
rmse                 0.144987
mae                  0.119478
mape                 0.519415
mdape                0.218211
smape                0.230145
coverage             0.637616"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.091722
rmse                 0.289648
mae                  0.271672
mape                 0.897328
mdape                0.523519
smape                0.430593
coverage             0.842155"
ES2,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.010335
rmse                 0.097442
mae                  0.072987
mape                 0.338695
mdape                 0.11264
smape                0.161873
coverage             0.866748"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.021851
rmse                 0.142694
mae                   0.11534
mape                 0.498958
mdape                 0.20739
smape                0.220518
coverage             0.641653"
